"id","country_id:id","state_id:id","code","name","name@es_419"
"res_locality_mx_coa_03","base.mx","base.state_mx_coah","03","Matamoros","Matamoros"
"res_locality_mx_coa_04","base.mx","base.state_mx_coah","04","Monclova","Monclova"
"res_locality_mx_coa_05","base.mx","base.state_mx_coah","05","Parras de la Fuente","Parras de la Fuente"
"res_locality_mx_coa_06","base.mx","base.state_mx_coah","06","Piedras Negras","Piedras Negras"
"res_locality_mx_coa_07","base.mx","base.state_mx_coah","07","Sabinas","Sabinas"
"res_locality_mx_coa_08","base.mx","base.state_mx_coah","08","Saltillo","Saltillo"
"res_locality_mx_coa_09","base.mx","base.state_mx_coah","09","Nueva Rosita","Nueva Rosita"
"res_locality_mx_coa_10","base.mx","base.state_mx_coah","10","San Pedro","San Pedro"
"res_locality_mx_coa_11","base.mx","base.state_mx_coah","11","Torreón","Torreón"
"res_locality_mx_coa_12","base.mx","base.state_mx_coah","12","Castaños","Castaños"
"res_locality_mx_coa_13","base.mx","base.state_mx_coah","13","Francisco I. Madero (Chávez)","Francisco I. Madero (Chávez)"
"res_locality_mx_coa_14","base.mx","base.state_mx_coah","14","Cuatro Ciénegas de Carranza","Cuatro Ciénegas de Carranza"
"res_locality_mx_coa_15","base.mx","base.state_mx_coah","15","Nadadores","Nadadores"
"res_locality_mx_coa_16","base.mx","base.state_mx_coah","16","Ramos Arizpe","Ramos Arizpe"
"res_locality_mx_coa_17","base.mx","base.state_mx_coah","17","Nava","Nava"
"res_locality_mx_coa_18","base.mx","base.state_mx_coah","18","Zaragoza","Zaragoza"
"res_locality_mx_coa_19","base.mx","base.state_mx_coah","19","San Buenaventura","San Buenaventura"
"res_locality_mx_coa_20","base.mx","base.state_mx_coah","20","Ciudad Melchor Múzquiz","Ciudad Melchor Múzquiz"
"res_locality_mx_coa_21","base.mx","base.state_mx_coah","21","Viesca","Viesca"
"res_locality_mx_coa_22","base.mx","base.state_mx_coah","22","Morelos","Morelos"
"res_locality_mx_coa_23","base.mx","base.state_mx_coah","23","Arteaga","Arteaga"
"res_locality_mx_coa_24","base.mx","base.state_mx_coah","24","Allende","Allende"
"res_locality_mx_gro_03","base.mx","base.state_mx_gro","03","Iguala de la Independencia","Iguala de la Independencia"
"res_locality_mx_gro_04","base.mx","base.state_mx_gro","04","Taxco de Alarcón","Taxco de Alarcón"
"res_locality_mx_gro_05","base.mx","base.state_mx_gro","05","Arcelia","Arcelia"
"res_locality_mx_gro_06","base.mx","base.state_mx_gro","06","Ayutla de los Libres","Ayutla de los Libres"
