code,color,id,stripe_name,name
0742,0,veterinary_services,veterinary_services,Veterinary Services
0780,0,landscaping_services,landscaping_services,Landscaping Services
1520,0,general_services,general_services,General Services
1711,1,heating_plumbing_a_c,heating_plumbing_a_c,Heating Plumbing A C
1731,1,electrical_services,electrical_services,Electrical Services
1740,1,masonry_stonework_and_plaster,masonry_stonework_and_plaster,Masonry Stonework and Plaster
1750,1,carpentry_services,carpentry_services,Carpentry Services
1761,1,roofing_siding_sheet_metal,roofing_siding_sheet_metal,Roofing Siding Sheet Metal
1771,1,concrete_work_services,concrete_work_services,Concrete Work Services
1799,1,special_trade_services,special_trade_services,Special Trade Services
2741,1,miscellaneous_publishing_and_printing,miscellaneous_publishing_and_printing,Miscellaneous Publishing and Printing
2791,1,typesetting_plate_making_and_related_services,typesetting_plate_making_and_related_services,Typesetting Plate Making and Related Services
2842,1,specialty_cleaning,specialty_cleaning,Specialty Cleaning
4011,2,railroads,railroads,Railroads
4111,2,commuter_transport_and_ferries,commuter_transport_and_ferries,Commuter Transport and Ferries
4112,2,passenger_railways,passenger_railways,Passenger Railways
4119,2,ambulance_services,ambulance_services,Ambulance Services
4121,2,taxicabs_limousines,taxicabs_limousines,Taxicabs Limousines
4131,2,bus_lines,bus_lines,Bus Lines
4214,2,motor_freight_carriers_and_trucking,motor_freight_carriers_and_trucking,Motor Freight Carriers and Trucking
4215,2,courier_services,courier_services,Courier Services
4225,2,public_warehousing_and_storage,public_warehousing_and_storage,Public Warehousing and Storage
4411,2,cruise_lines,cruise_lines,Cruise Lines
4457,2,boat_rentals_and_leases,boat_rentals_and_leases,Boat Rentals and Leases
4468,2,marinas_service_and_supplies,marinas_service_and_supplies,Marinas Service and Supplies
4511,2,airlines_air_carriers,airlines_air_carriers,Airlines Air Carriers
4582,2,airports_flying_fields,airports_flying_fields,Airports Flying Fields
4722,2,travel_agencies_tour_operators,travel_agencies_tour_operators,Travel Agencies Tour Operators
4723,2,t_ui_travel_germany,t_ui_travel_germany,TUI Travel Germany
4784,2,tolls_bridge_fees,tolls_bridge_fees,Tolls Bridge Fees
4789,2,transportation_services,transportation_services,Transportation Services
4812,3,telecommunication_equipment_and_telephone_sales,telecommunication_equipment_and_telephone_sales,Telecommunication Equipment and Telephone Sales
4814,3,telecommunication_services,telecommunication_services,Telecommunication Services
4816,3,computer_network_services,computer_network_services,Computer Network Services
4821,3,telegraph_services,telegraph_services,Telegraph Services
4829,3,wires_money_orders,wires_money_orders,Wires Money Orders
4899,3,cable_satellite_and_other_pay_television_and_radio,cable_satellite_and_other_pay_television_and_radio,Cable Satellite and Other Pay Television and Radio
4900,3,utilities,utilities,Utilities
5013,4,motor_vehicle_supplies_and_new_parts,motor_vehicle_supplies_and_new_parts,Motor Vehicle Supplies and New Parts
5021,4,office_and_commercial_furniture,office_and_commercial_furniture,Office and Commercial Furniture
